no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
28774,20.41,L' D L2 F R' F' R2 B D2 L' U B2 U2 R2 D2 L2 D' F2 L2 D' F2 Rw Uw,2021-01-05 17:10:42,11,12,8,0,1,0,0,1,2
28776,21.62,D2 B' L B' U F' L' F D2 F2 U2 R2 D L2 U' L2 D F2 L2 D2 B Rw' Uw2,2021-01-06 15:29:37,9,10,6,1,0,0,1,0,0
28777,23.72,L R2 U' B2 D B2 L2 D' U2 R' F2 U B' F U' L R2 F Rw2 Uw2,2021-01-06 15:30:10,10,7,7,3,0,1,0,0,0
28779,24.7,R' D2 F D2 F2 D2 L2 B2 D' L2 U' R2 F2 L' R' U B' R2 D2 L Uw2,2021-01-06 15:33:58,11,11,7,1,0,0,0,1,0
28780,20.45,L2 D' L2 U2 L2 B2 D' B2 U2 L2 U' B D' R2 D R U' F L2 U Rw Uw',2021-01-06 15:34:45,11,10,8,2,0,0,0,1,1
28782,24.74,D L' B R' F2 D' L' D U2 F2 L2 F' U2 F' R2 L2 F2 U2 B' D Fw Uw2,2021-01-06 15:36:30,12,10,4,2,3,0,0,1,0
28783,21.87,D' L D L2 B2 D' B R' F2 U D B2 D F2 D' B2 U' L2 B2 R2 F' Rw Uw2,2021-01-06 15:37:30,12,13,9,0,0,0,0,2,2
28786,24.4,R F2 R D' R D' F L2 U2 B2 D' L2 U D2 R2 B D' Rw Uw2,2021-01-06 15:39:38,12,11,3,1,3,0,1,1,0
28788,20.72,U' L2 F R B D' B2 U L' F R2 D2 F2 R2 B R2 B2 D2 B2 D2 L' Fw,2021-01-06 15:41:10,12,11,7,2,0,0,0,2,0
28789,24.54,U' R2 L D2 R B' L2 F2 U' R2 D2 F2 R U2 B2 L B2 L' U2 R Rw2 Uw,2021-01-06 15:41:42,10,10,8,1,0,1,0,1,1
28790,21.49,U' D2 R2 U2 L' D2 F2 U2 F2 L B2 L' D U2 B D L D2 R Uw2,2021-01-06 15:42:17,9,11,5,0,0,2,2,2,0
28791,23.29,F B2 D2 U2 L' U2 B2 R' D2 R2 D2 F' D B' R' B' F' R B' Rw Uw,2021-01-06 15:42:58,11,9,9,2,0,1,0,1,2
28796,20.23,B L' B2 R2 F U2 R2 B' L2 B' U2 B' R' U' L' B U Rw Uw',2021-01-06 15:47:26,11,11,5,1,1,1,1,2,0
28797,22.25,D' R F2 R2 U' F2 L B' F2 D2 R2 D2 R' B2 U2 L' D2 B2 L U2 Rw2 Uw,2021-01-06 15:48:16,12,11,7,1,1,0,0,1,1
28801,20.51,R2 D' L B2 R2 F2 L B2 L F2 U2 F2 R D2 B D' U R' U R' D2 Fw Uw2,2021-01-06 15:51:09,8,10,6,0,0,1,2,0,1
28802,23.66,B2 F2 R2 D2 L D2 F2 R B2 L R' D' F' R' U2 R' U F R' B' Fw Uw,2021-01-06 15:51:40,10,12,6,0,1,0,1,1,1
28803,25.01,R D2 R U2 F2 U2 B2 F2 R D2 L' B' D R D R2 U2 L D B U' Rw Uw',2021-01-06 15:53:06,11,12,6,1,1,0,1,2,1
28804,20.88,R' B L' F' R2 B2 D' L' D R2 D2 L2 U L2 B2 D R2 D2 F2 B' Rw2,2021-01-06 15:53:41,10,12,4,0,2,0,1,1,0
28807,22.58,F' D' F2 D B2 F2 L2 F2 D' L2 U' B2 F' U F L D2 U' B2 L B Rw' Uw,2021-01-06 15:55:57,11,12,8,0,1,0,0,1,2
28810,22.99,D' F2 R2 F' D2 L D F R2 B' U2 R2 B L2 B' D2 F R2 L' D' Rw Uw,2021-01-06 15:57:55,10,11,7,0,0,0,0,0,0
28815,19.66,R D F' U2 B F L2 B D2 B U2 R2 F' R2 D U F D' L' B' R Uw,2021-01-06 16:01:55,10,10,2,1,3,1,2,1,0
28817,19.93,U B' F2 L2 U2 L B2 R' D2 R2 U2 L U2 L' D' F' L2 U2 R U F Uw,2021-01-06 16:02:59,9,12,6,0,0,1,1,2,0
28819,21.82,R D' R2 F2 U2 B2 R2 B2 U' F2 U2 L' R U' F' R B2 L B U' F' Uw',2021-01-06 16:04:33,10,11,7,0,0,0,1,0,1
28820,17.11,L B2 D U L2 D B2 D L2 U L2 U2 B R' D' U2 L' R D2 B L Rw2 Uw',2021-01-06 16:05:11,8,12,4,0,0,1,3,2,0
28821,20.93,D2 L D' B2 D' F2 U' B2 D2 U' L2 U' B' L B F2 R2 D B' F' Rw Uw2,2021-01-06 16:05:40,11,11,5,1,1,0,1,1,0
28822,19.73,F2 R U D F D' R B2 D2 L2 B D2 L2 F2 L2 F' U2 L2 D2 L U Rw',2021-01-06 16:06:16,11,9,9,1,0,1,0,0,2
28825,24.49,R' B2 D2 R2 F2 R' B2 R B2 D2 F' D B' D B2 L U' F' Uw,2021-01-06 16:08:58,11,11,9,0,0,0,0,0,2
28827,22.12,U2 F U2 F' D2 B' R2 F' D2 B' L' R B' D L B U' F' U B' Uw',2021-01-06 21:09:53,11,14,8,0,0,0,0,3,1
28830,20.64,B2 D2 B L2 U F' R' L2 U' D' R2 D L2 F2 R2 D2 F2 L U' Rw2 Uw,2021-01-06 21:12:42,9,10,6,0,1,1,1,0,1
28832,23.94,D' F2 L2 F' R D' L F' L R2 U R2 U' F2 U' F2 U' B2 U B2 D' Uw,2021-01-06 21:14:12,11,12,8,0,1,0,0,1,2
28838,19.15,U' F' U F B L F' R2 D2 L2 U R2 D' R2 L2 U' F2 D R' U' Rw2 Uw',2021-01-06 21:19:33,9,10,8,0,0,1,0,0,1
28839,20.67,F' R2 F2 L2 F D2 R2 D2 B2 D2 F' R2 L' B F2 R D2 L D' F2 R2 Rw2 Uw',2021-01-06 21:20:08,10,11,5,0,1,0,1,0,0
28840,27.98,U' B' L2 F R' U' R' D' B U2 F' D2 R2 B' R2 U2 F2 U2 R2 B2 D' Fw Uw',2021-01-06 21:20:41,12,11,7,1,1,0,0,1,1
28841,19.24,B' R' D2 U2 B D2 F L2 B' D2 U2 B2 U2 F2 L' B U R' U L B Rw2,2021-01-06 21:21:36,9,10,6,0,1,1,1,0,1
28844,23.86,U' F' B2 D R2 B2 U2 F2 U' B2 U' B2 U B R' U' F' L F L R2 Rw2 Uw2,2021-01-06 21:23:24,12,11,9,1,0,0,0,1,2
28847,20.57,B' L2 D2 R' U2 L' D2 U2 R D2 B2 R2 F2 U' F2 D F R' U' F2,2021-01-06 21:26:23,10,11,7,0,0,1,1,1,1
28854,23.46,R' D2 U2 L' U2 R2 D2 F2 U2 R2 B2 D' L F2 L' U F U2 F' L' Fw,2021-01-06 21:31:09,11,12,6,1,1,0,0,2,0
28855,20.44,L2 U F2 L2 D' F2 D' B2 U' L2 U F2 L U R' B' L' F' L' D U' Rw2,2021-01-06 21:31:44,10,12,4,0,2,0,2,1,1
28856,21.6,R B D R' L2 D' F' U R2 D2 L2 D L2 B2 R2 L2 D' R' Rw,2021-01-06 21:32:27,11,11,9,0,0,0,0,0,2
28857,23.97,L' F2 R2 F2 L2 D2 R U2 F2 D2 L' F' D F' U' L2 U2 L Rw2 Uw,2021-01-06 21:33:01,11,11,7,0,1,0,0,0,1
28858,22.4,D' R2 D2 L D2 F' U F2 D2 F2 L2 F' R2 D2 B D2 L2 D2 F U Rw',2021-01-06 21:33:40,10,9,7,1,0,1,2,0,2
28860,19.05,F2 L2 F2 D2 B2 L B2 L2 B2 D2 R2 F' U L B R' F2 U2 F' D,2021-01-06 21:34:52,10,12,8,0,0,0,0,1,1
28863,24.29,R2 F' L2 R2 U2 F2 R2 B' R2 D' R2 B2 L' D2 U2 B' U Rw Uw',2021-01-06 21:36:44,10,12,6,1,1,0,1,2,1
28864,19.64,D2 B' F2 R' F2 L2 D2 F2 R U2 L' U2 R' D B U' B2 U' L F D2 Rw2 Uw,2021-01-06 21:39:43,10,12,8,0,0,0,0,1,1
28866,23.64,R2 D L2 D' L2 D L2 B2 D2 L B L2 F' U R2 F' U' F2 Uw2,2021-01-06 21:40:52,12,13,5,1,1,0,1,3,0
28868,21.65,L2 R B2 D2 B R2 F' R2 B2 L2 B U F' L' B' L2 B' D2 Fw Uw2,2021-01-06 21:42:23,10,12,6,0,1,0,0,1,0
28871,19.72,B' D' F2 U' B2 R2 D' L2 U R2 D B2 U2 L' B' D2 R' D2 F' U' Rw' Uw,2021-01-06 21:46:35,10,11,7,0,0,1,0,1,0
28872,20.1,B2 L2 B2 R2 D R2 U' R2 D2 F2 U' B R' D2 L D' B' R2 U' L' U Uw',2021-01-06 21:47:22,9,10,8,0,0,1,0,0,1
28873,22.29,B' R U D2 L F L2 D' L' U2 B2 D F2 U B2 U2 R2 U' F2 D Rw Uw,2021-01-06 21:47:53,11,9,7,2,0,0,0,0,0
28875,25.97,U B2 U' F2 D2 F2 L2 U' F2 L2 U B' D L D' B R' B2 U' R2 Fw Uw,2021-01-06 21:49:35,11,11,9,0,0,1,0,1,2
28885,20.53,D' F2 B D2 F' B2 U' F' R2 U2 R' D2 B2 R' F2 L' F2 L2 B2 R Fw',2021-01-06 21:57:00,10,12,8,0,0,0,0,1,1
28886,25.91,D2 F2 D R2 U F2 D B2 D2 L2 B2 F' L R B' R U' F2 U2 L2 D Rw',2021-01-07 22:58:40,12,13,7,0,1,0,0,2,1
28892,22.51,U B' R U' B2 R' U F U2 F L2 F R2 B D2 B U2 B2 U2 L' D2 Fw' Uw',2021-01-07 23:03:59,10,12,6,0,1,0,0,1,0
28895,22.65,B2 F2 D' L2 F2 U' L2 D' B2 D2 L2 D2 F D' L' U2 R2 D F L U2 Fw,2021-01-07 23:06:08,10,12,6,0,1,0,2,1,2
28897,21.96,L2 F2 L2 R2 F2 U R2 D' U2 B2 U B' D' L' R U' L' R2 D' B2 F Rw Uw2,2021-01-07 23:07:24,10,12,8,1,0,0,0,2,1
28898,26.7,D' F2 U2 L U2 L2 D2 U2 L' B2 L F2 R2 D L' B F2 R F L R Rw,2021-01-07 23:07:58,11,12,6,1,1,0,0,2,0
28899,22.14,B F L2 F D2 U2 R2 B' F' L D U L' B' R D2 B2 D' F' Fw,2021-01-07 23:08:38,10,12,8,0,0,0,0,1,1
28900,22.35,U2 L2 D' B2 L2 D' B2 D2 L2 D L2 D L D2 F D B U' R B' L Rw' Uw',2021-01-07 23:09:14,10,10,6,1,1,1,0,1,0
28902,18.61,F U' F2 D L2 U' F2 U' L2 D2 B2 D2 F' U L' D L' F' L' F',2021-01-07 23:10:32,10,11,5,0,1,1,2,1,1
28905,18.84,B L' U2 R2 B' U F B D' F R2 B D2 R2 F' R2 L2 U2 L2 F' Uw',2021-01-07 23:13:04,10,10,8,1,0,1,0,1,1
28907,21.88,R2 D2 R2 B2 D2 B2 R U2 R' F2 R' D2 F R B D B2 L2 D' B2 L' Rw2 Uw',2021-01-07 23:14:28,11,12,8,1,0,0,0,2,1
28908,22.72,D L B2 D2 F2 D2 R D2 R2 D2 U2 F' R B2 R' U B' F2 U' R' Fw Uw2,2021-01-07 23:15:14,11,13,7,0,0,0,0,2,0
28909,21.0,L' U2 B' L2 F2 U B2 L2 U' F2 U B2 D B U' F2 R U' F2 L Uw',2021-01-07 23:15:48,10,12,8,0,0,0,0,1,1
28910,21.65,B2 U' B2 U2 L2 D2 L2 B U2 B' D2 L2 B U2 R U B D' B R F2 Rw' Uw',2021-01-07 23:16:56,11,8,8,3,0,1,1,1,2
28915,22.36,R L2 D2 R2 U' L2 D R2 F2 L2 R2 U' B' L D' L' B L B F' D' Rw Uw2,2021-01-07 23:20:52,11,12,6,0,2,0,0,1,1
28916,21.09,B R B2 D2 L D2 L F2 D2 L U2 R D L R U L R F' U R Fw Uw,2021-01-07 23:21:35,10,9,7,0,1,2,0,0,1
28917,17.18,D' F U' D2 F2 B2 L' F2 L2 U2 F2 U2 B2 D' F2 B2 L2 D B2 L B' Rw' Uw,2021-01-07 23:22:14,8,10,6,0,0,1,1,0,0
28918,23.77,R B U L2 D B2 L D2 F' D2 R2 D2 B' L2 B' D2 F R' D' B Rw' Uw',2021-01-07 23:22:44,11,14,6,0,1,0,0,3,0
28919,21.15,B' R' F' U R L' U2 D2 B' R2 D2 R B2 R F2 R2 D2 L D2 L' Uw2,2021-01-07 23:23:22,9,11,5,0,0,1,2,1,0
28920,19.85,D R F' U R2 B U' R2 B' U2 R2 B' D2 L2 B R2 D2 F D F' Rw2 Uw,2021-01-07 23:23:56,10,7,7,2,0,2,1,0,1
28921,22.09,L2 B L2 D2 R2 D L2 D' F2 D2 B2 D R2 L' U F L R' B' F2 R' Rw Uw',2021-01-07 23:24:28,10,11,5,0,1,0,1,0,0
28926,21.51,F2 U' R2 F2 D2 F2 R2 D2 L2 D F2 R' D' U2 L' B U' R F D' L' Rw' Uw2,2021-01-07 23:30:07,11,10,8,2,0,0,0,1,1
28927,23.34,R2 D' L2 B2 U' B2 F2 R2 U B2 D L B L2 U B' D2 B' U2 Fw Uw2,2021-01-07 23:31:07,11,14,6,0,1,0,0,3,0
28931,21.63,B' R2 F' U2 B' U2 F' U2 F2 L2 F R2 L' U' B L2 D B D R F2 Rw Uw2,2021-01-07 23:35:40,11,11,9,0,0,1,0,1,2
28932,21.45,D2 B F2 D2 U2 L2 B F2 U2 F L2 R' U B2 L R D B L2 U Rw,2021-01-07 23:36:17,11,11,7,1,0,0,1,1,1
28935,19.08,U F2 U2 L R F2 L' D2 L B2 U2 L2 U2 D' B' R' D2 B2 D R F2 Rw2 Uw2,2021-01-07 23:38:28,9,10,8,0,0,2,0,1,1
28936,23.05,D' L2 U B2 F2 D' U2 B2 R2 U2 L D2 U2 B' U' B2 L2 U' L' F' Uw2,2021-01-07 23:39:00,12,9,9,2,0,0,0,0,2
28937,25.58,D U2 B' F D2 L2 D2 U2 F L2 B2 R2 L' F R D' L R U F R' Rw' Uw,2021-01-07 23:39:33,12,13,5,1,1,0,1,3,0
28938,22.09,D2 F' U2 L2 F2 D2 B2 D R2 U' R2 U2 B2 L' B' U' B2 U R' U' Rw2,2021-01-07 23:40:11,11,11,7,0,1,0,0,0,1
28945,20.88,U B' U2 L' D2 R D2 U2 F2 D2 U2 R' B2 F D L2 R2 U2 L U' Rw2 Uw',2021-01-07 23:47:25,10,12,8,0,0,1,0,2,1
28946,24.32,L2 F2 U' F2 D' B2 D' B2 U2 B2 F L2 F' R D L D2 B' L2 F2 Rw2 Uw2,2021-01-07 23:47:59,12,13,7,0,1,0,0,2,1
28947,20.18,L F' U2 R2 F2 U2 F' L2 D2 U2 F' L' D' R2 F2 R2 U R B' R Fw Uw',2021-01-07 23:48:35,9,10,6,1,0,0,1,0,0
28950,24.18,U2 B2 D2 F2 R' D2 R' D2 L2 D2 F2 D' B L R' F2 U' L D2 R' Rw2,2021-01-07 23:51:33,11,11,9,0,0,0,0,0,2
28953,19.85,U2 R' F2 D' F2 R U R L2 F D2 L2 U2 F2 L2 B D2 B' U2 Fw Uw2,2021-01-07 23:53:35,10,13,7,0,0,0,0,2,0
28955,20.35,F R' B2 U2 L' D L D R2 U2 B D2 B U2 D2 R2 B' L2 U Rw Uw',2021-01-07 23:54:55,8,8,4,1,2,2,1,0,0
28956,24.81,F' U B2 U2 D2 B R' B2 L U' L2 U' R2 U F2 D F2 U' R2 F2 Rw' Uw2,2021-01-07 23:55:30,12,13,7,0,1,0,1,2,2
28961,21.87,U' B2 U' F2 U2 B2 L2 U' R2 F2 R' D F' L' D R F' D F U,2021-01-08 00:06:09,10,9,7,1,0,1,0,0,0
28967,22.1,F' R2 D' R2 B2 U' R2 D2 U' L2 B2 U2 L B2 F' R' U L2 F L2 U Rw2,2021-01-08 00:18:55,11,12,6,0,2,0,0,1,1
28971,21.67,D2 B2 U' F2 R2 D' F2 R2 F2 U' F' U R B2 D2 F2 D R2 D2 F' Fw Uw,2021-01-08 00:23:16,10,12,6,0,1,0,0,1,0
28973,26.09,R' F R U F' U L D U2 F' B2 D2 B D2 L2 F D2 B2 U2 Fw' Uw',2021-01-08 00:24:46,11,11,7,0,1,2,0,2,1
28976,27.56,L' U2 R B2 L D2 B2 L2 U2 B2 U2 F2 U L2 D B' R' U2 F L B2 Rw Uw2,2021-01-08 00:27:31,11,10,6,1,2,0,0,0,1
28977,20.32,R B D B' L' U' B L R2 F2 B2 D' L2 F2 B2 U' F2 U' L2 D B Rw,2021-01-08 00:28:11,9,12,6,0,0,1,1,2,0
28978,26.51,L2 R2 B2 U2 B L2 D2 F' U2 F L F U B2 F R2 D B2 L Uw',2021-01-08 00:28:51,9,10,6,1,0,1,1,1,0
28979,19.57,F2 R B2 U2 L2 D2 L F2 L' B2 F2 D2 F' R D B U R' U' R' Uw,2021-01-08 00:29:29,10,12,8,0,0,1,0,2,1
28980,19.96,L2 F' L2 F' L2 B R2 B2 R2 U2 R2 F2 U' L B F D' B D L' F Rw',2021-01-08 00:30:01,10,11,7,0,0,0,0,0,0
28982,17.49,R2 B F2 D2 U2 L2 B L2 U2 R2 F D L D2 U B' L F2 D' B2 Fw Uw2,2021-01-08 00:31:36,9,10,4,0,2,1,1,0,0
28983,20.09,D' B2 L2 U B2 D B2 U' B2 L2 R D2 R U' B2 F D F' L' F' Rw2,2021-01-08 00:32:06,9,10,6,0,1,1,0,0,0
28986,24.88,R2 D' R2 F2 D' B2 L2 D' U2 L2 B2 L' D B' L' D' R' F U2 Uw',2021-01-08 17:40:27,12,9,7,2,1,0,0,0,1
28987,23.34,D2 R2 D2 L2 U' R2 D' F2 D B' U' F L D' U B' F2 L' U Rw',2021-01-08 17:41:11,11,11,7,1,0,0,0,1,0
28989,23.66,D2 B' R2 L U' D' R' L' F' U2 F2 R U2 F2 L2 F2 U2 R2 U2 B2 R Rw Uw2,2021-01-08 17:43:10,10,12,8,0,0,0,0,1,1
28992,19.88,R2 B2 R' U2 R B2 F2 U2 L D2 U' R2 D2 L D B' F' L' D' L2 Fw' Uw',2021-01-08 17:48:03,11,12,8,0,1,0,0,1,2
28996,20.47,U D F' D2 B2 L' U B R' D F2 R2 U F2 U' L2 U2 B2 L2 B2 Fw' Uw2,2021-01-08 17:51:31,11,11,7,1,0,0,0,1,0
28998,22.32,L2 F2 D2 B2 R D2 R D2 F2 L U2 B' L2 R D' B R2 D B' U2 B' Fw Uw2,2021-01-08 17:54:11,11,9,7,1,1,2,0,1,1
28999,22.02,B2 L2 U2 B L2 D2 F2 D2 U2 F D2 R' F L2 R2 B2 U L2 B D2 Fw' Uw',2021-01-08 17:55:16,10,12,6,0,1,0,0,1,0
29004,28.16,B D F2 L D2 B L F B2 L2 U' L2 U F2 U2 F2 U R2 D' B' Rw' Uw2,2021-01-08 17:58:50,11,12,8,0,1,0,0,1,2
29007,22.39,R' U' D L' U2 B' L U' L' F2 L F2 L' D2 R' D2 R U2 B2 D Fw Uw',2021-01-08 18:03:29,10,11,7,0,0,1,0,1,0
29011,27.9,D' B' L2 B2 U2 R' B2 D2 L' D2 R B2 L2 D' U2 B' U' L2 B' D' Uw,2021-01-08 18:06:34,10,11,5,0,2,0,1,0,1
29014,19.7,R B2 U2 L D2 R' U2 L' R2 D2 U2 F2 B' R' F2 U' L2 D2 F' R U' Fw' Uw',2021-01-08 23:07:36,10,10,8,1,0,0,0,0,1
29015,23.55,B' R2 U2 B2 F2 R' D2 F2 L F2 U2 L2 B U R F2 D L2 F2 R2 Rw2 Uw',2021-01-08 23:08:14,10,10,4,0,3,2,0,1,0
29018,22.32,R2 U2 R' B2 L U2 L' F2 R' U2 R' F2 D' B' D2 U' L2 B2 L B' L2 Rw',2021-01-08 23:11:35,11,13,7,0,0,0,0,2,0
29020,21.48,U B2 D2 U' R2 U B2 U B' L B D' B' R' F' D' U2 B2 Rw2 Uw',2021-01-08 23:13:35,11,13,7,0,0,1,0,3,0
29022,19.62,U2 D B' D' B U F2 R2 F L B2 L U2 F2 L U2 D2 B2 U2 L Rw Uw',2021-01-08 23:15:06,9,12,6,0,0,0,1,1,0
29023,19.87,B2 D2 B' R2 L F D' B2 L' D2 R2 F2 U' L2 F2 R2 U2 L2 U F2 D' Fw' Uw',2021-01-08 23:15:37,10,10,6,1,1,0,1,0,1
29024,22.17,F R D2 L' F U2 B U2 B2 D R2 D2 L2 B2 D' F2 D R2 U R' F Fw,2021-01-08 23:16:15,10,12,8,0,0,0,0,1,1
29027,18.81,F2 L U R' F2 L D' B R2 U2 F2 D2 F' R2 U2 F2 R2 U2 F' U' R' Fw Uw,2021-01-08 23:19:16,9,10,8,0,0,1,0,0,1
29030,20.2,B2 L2 U B2 L2 U' R2 B2 F2 U' F2 L D' U R F' U' L2 B L D' Fw' Uw',2021-01-08 23:22:36,10,12,6,0,1,0,0,1,0
29031,20.36,L' U F2 L2 R2 U2 B2 D' R2 D' R2 B2 R U' R' U2 L D2 B' D,2021-01-08 23:23:09,10,6,6,3,1,2,0,0,0
29033,23.91,R2 D F D B2 L2 D F2 U' F2 D L2 R2 F L' U2 R D' L2 B' Rw2,2021-01-08 23:25:46,12,13,9,0,0,0,0,2,2
29034,17.06,B2 D2 L2 D2 R2 U F2 U2 B' L' U2 R2 D' F2 U2 F Rw' Uw2,2021-01-08 23:26:24,9,10,8,0,0,2,0,1,1
29038,23.93,U' F2 L2 U2 R2 D' U2 L2 B2 L2 U' R' B F2 R' D' L2 U' R B' F2 Fw Uw,2021-01-08 23:29:00,10,12,8,0,0,0,0,1,1
29039,24.65,R2 B' R2 B2 R2 F R2 F D2 F' L2 F D L R' B2 D L' D' L2 U Uw,2021-01-08 23:29:45,11,13,7,0,1,0,0,2,1
29040,23.2,F' U2 F' L' F' L2 U' B2 R F2 L' F2 L' B2 U2 R B Uw',2021-01-08 23:30:23,13,11,7,2,1,0,0,2,1
29041,21.71,R' U' F' L B R2 L U' B' D2 F2 B2 L' F2 R' D2 R2 U2 R2 Fw' Uw',2021-01-08 23:30:59,10,12,8,0,0,1,0,2,1
29043,22.7,D2 B' R2 B D2 L2 B' L2 R2 U2 F' R U' L B F U2 R' D R' Rw Uw,2021-01-08 23:32:48,11,12,6,0,2,0,0,1,1
29048,22.63,L2 D F2 U2 L2 D2 L2 U' F2 D R2 B' L2 B2 R F D2 B2 D R F' Rw Uw,2021-01-08 23:35:58,12,13,7,0,1,0,1,2,2
29049,19.43,R' F' L2 D L F R2 F D' F' R2 D2 R2 F' D2 L2 F L2 F2 Rw' Uw',2021-01-08 23:36:33,9,10,6,0,1,1,0,0,0
29052,23.1,R B' L' F B' D R' B L' D2 B2 R2 D' L2 B2 L2 U2 B2 D B2 D' Fw Uw',2021-01-08 23:38:35,11,12,8,1,0,1,0,3,1
29053,21.81,R B2 U2 R2 F2 R B2 U2 R2 U2 B F' R F2 D2 F2 U L R' Uw',2021-01-08 23:39:38,11,11,9,0,0,0,0,0,2
29054,23.52,F' R2 B' R2 U2 R2 F2 U2 F D2 L U' R F2 U2 R' U2 R2 B2 Rw',2021-01-08 23:40:11,11,12,8,0,1,0,0,1,2
29055,20.44,B' R L2 F' L' D' L2 B R U R2 F2 R2 U R2 L2 D L2 U2 F2 B2 Fw Uw,2021-01-08 23:41:22,10,12,8,0,0,0,0,1,1
29058,22.52,D2 R B2 D2 F' R2 D2 F' D2 B' L2 B2 U2 D' B D U2 B2 U' R2 Fw' Uw,2021-01-08 23:43:23,10,12,8,0,0,1,0,2,1
29059,20.88,L2 R2 B2 D' F2 R2 U L2 U F2 U' B' L F U' R D F U' R Rw Uw',2021-01-08 23:43:59,12,11,7,2,0,0,0,2,0
29060,20.08,R D2 L' F' D' F R' B' L' F2 R' D2 L U2 L B2 U2 R' U' Rw',2021-01-08 23:44:30,10,10,8,1,0,1,0,1,1
29061,24.11,U2 F' U D' R' F' U F U' L2 D2 L2 U2 B R2 L2 D2 B2 Rw',2021-01-08 23:45:30,11,12,6,1,1,0,0,2,0
29063,22.9,F2 R2 U B2 U' L2 R2 B2 U' B2 D2 L' U L' F L' F' L B' D Fw' Uw2,2021-01-08 23:47:08,11,13,7,0,0,0,0,2,0
29064,22.0,B U2 B' U2 F U2 F2 L2 R2 U2 F' D' L2 B D B R F L B' U2 Rw,2021-01-08 23:47:41,10,11,7,0,0,1,0,1,0
29068,20.97,D L' D B R' F D' F U2 F U2 B' L2 U2 F D2 R2 D2 L2 R D' Rw Uw2,2021-01-08 23:50:54,11,12,8,1,0,0,0,2,1
29075,21.61,U B U' F B U D F' L' B2 R2 U D R2 L2 B2 D' L2 U F2 L2,2021-01-08 23:57:43,11,11,7,1,0,1,0,2,0
29076,21.23,D' F2 U2 L' B R F2 L F2 L2 U' R2 D L2 D F2 R2 D2 L2 U Rw' Uw2,2021-01-08 23:58:16,10,12,8,0,0,1,0,2,1
29077,23.93,D2 U' R2 D' F2 U R2 B2 R2 U' F2 R U' F2 D L D2 F' U' B R' Rw Uw,2021-01-08 23:58:48,10,10,6,1,1,0,1,0,1
29078,20.76,F' D B2 F2 U2 F2 U' B2 R2 D2 U L B D' B R U L F Rw2 Uw',2021-01-08 23:59:32,10,11,7,0,0,0,1,0,1
29080,22.83,L' D2 B2 R2 B2 R2 D' R2 U2 R2 D' F2 L2 R' B' L F' L2 D' U R' Uw2,2021-01-09 00:01:34,11,12,6,0,2,0,0,1,1
29082,18.75,B' R2 L' D2 F' L U' B2 D' R2 U2 L2 F2 B2 L D2 L2 D2 Fw',2021-01-09 00:02:56,9,10,6,0,1,2,0,1,0
29083,23.68,R2 D F2 U2 B2 R' F2 L D2 R F2 D2 U2 L2 F' R B' L' F U B Fw' Uw2,2021-01-09 00:03:28,11,14,8,0,0,0,0,3,1
29088,19.54,B2 R' F2 L D2 L U2 L2 F2 U2 L F D2 F2 D F' R' U' L' U2 Fw Uw,2021-01-09 00:07:32,9,10,6,0,1,1,0,0,0
29091,21.56,L B2 D2 R2 B2 U R2 B2 U' R2 F2 D B' F' R' F R D B F Rw Uw,2021-01-09 00:09:33,11,14,8,0,0,0,0,3,1
29093,22.44,D2 R U R2 B2 F2 D2 U L2 F2 L2 F2 R2 U' F D F2 D2 R' D2 B2 Rw2 Uw2,2021-01-09 00:10:57,11,13,7,0,0,1,1,3,1
29094,23.2,L2 U' D R' L D R' F' U2 F' R2 F B2 D2 L2 D' F' Rw Uw,2021-01-09 00:11:29,10,11,7,0,0,1,1,1,1
29099,21.9,B' D R2 D' L2 U' B2 F2 D2 U' F2 U' B2 R' F' D' L U2 F' Fw',2021-01-09 00:15:26,11,12,6,0,2,0,0,1,1
29100,22.07,F' R2 D2 U2 B' D2 B' U2 B2 L2 F R' B' D B' D F' U' R2 Fw' Uw2,2021-01-09 00:16:00,9,8,6,1,1,2,0,0,0
29101,19.98,D F2 D2 L2 D2 R2 F2 R2 U' F2 U L' B L2 R D2 R D U' L Rw2 Uw',2021-01-09 00:16:43,10,9,9,1,0,2,0,1,2
29102,20.8,U R2 D' R' B' L' D2 L' F U F2 L2 U' R2 D' L2 U L2 B2 D' F2 Fw' Uw,2021-01-09 00:17:15,10,10,8,0,1,1,0,0,2
29103,18.96,U' L2 B2 U F2 R2 D' U' F2 U R D2 B F' R' F2 D L2 D' B2 Rw' Uw,2021-01-09 00:17:47,10,11,7,0,0,1,0,1,0
29104,21.86,U' D B' U' D L' D' B R2 F D2 B' R2 D2 B' R2 D2 B R2 D Uw,2021-01-09 00:18:20,11,12,10,0,0,1,0,2,3
29105,21.91,F L' B D' R' B' U L2 F U2 R' F2 R F2 L D2 L D2 L2 D2 R2 Rw2,2021-01-09 00:18:53,11,12,6,1,1,0,1,2,1
29107,18.7,L2 B L2 D2 F2 R2 F D2 B U2 F L2 D R' D2 U2 F D B' F R Rw2 Uw2,2021-01-09 00:20:06,10,11,7,0,0,0,0,0,0
29110,24.28,L2 D F' D' F2 U' L2 B2 U R2 F2 L2 U2 L' F' R F U' L2 D' Fw' Uw,2021-01-09 00:22:00,12,13,9,0,0,0,0,2,2
