no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
28539,18.85,F2 R2 U' L2 U2 B2 F2 D' R2 D' B2 U2 R' U' R F L U' R' B U Fw' Uw2,2021-01-02 17:16:57,11,11,5,0,2,1,1,1,1
28542,24.19,L2 R D2 L' B2 L B2 F2 R' F2 D2 U L' D U F R2 B U' L B Fw,2021-01-02 17:20:10,12,12,8,1,1,0,0,2,2
28543,21.63,U' R2 B2 F2 U' L2 D' L2 D R2 B' U2 L' D L' B D U F R' Fw' Uw2,2021-01-02 17:20:46,9,10,6,0,1,1,0,0,0
28547,20.93,R F2 U2 F' D2 R2 B' R2 F' D2 F' U2 B D' L' R2 U' B F2 D2 L Rw Uw',2021-01-02 17:23:54,10,11,7,0,0,1,1,1,1
28551,21.74,D R' U2 F2 U2 B2 F2 L D2 L F2 L' B L F' D' B L' U2 L' Fw' Uw,2021-01-02 17:28:13,10,12,8,0,0,0,0,1,1
28552,25.04,F2 D R2 U' R2 U2 L2 U F2 U2 R2 B' L' R2 B' L' D' F2 R2 F2 Rw Uw',2021-01-02 17:28:47,11,10,8,2,0,1,1,2,2
28553,20.12,F2 L2 F2 U2 R2 F2 D B2 D2 L2 R B L R' U' R U' R2 B U' Uw2,2021-01-02 17:29:23,10,10,4,1,2,1,1,1,0
28554,21.46,L' F R' D' B D' B R' D2 F2 B2 U F2 U L2 U' F2 R2 F2 Rw',2021-01-02 17:29:54,10,12,6,0,1,0,1,1,1
28562,24.25,D2 B2 L2 F B' R B2 U L2 U2 F' L2 D2 R2 F2 D2 F U2 B2 D Rw',2021-01-02 17:37:42,11,12,8,1,0,0,0,2,1
28563,20.69,B D R2 U2 L D2 R' F2 D2 R B R2 B2 D' L' R D' F' Fw',2021-01-02 17:39:13,9,12,4,0,1,2,2,3,0
28564,17.76,B U F' U2 B R' U F' D U2 F' L2 D2 R2 F U2 R2 B' D2 F2 Rw2 Uw,2021-01-02 17:40:52,9,10,6,0,1,1,0,0,0
28566,18.08,B' D2 F L2 D2 L2 F' D2 F R2 D L B F2 R2 B' F' D' B2 Rw2 Uw',2021-01-02 17:42:11,10,9,7,1,0,1,0,0,0
28568,18.52,L' R2 F2 L D2 L' R D' B F' U B F2 U' B' L R Rw2 Uw,2021-01-02 17:44:16,9,10,6,0,1,2,0,1,0
28570,21.62,F D' L2 D' B2 D B2 L2 R2 D' L2 U F2 R' D L D B' F2 D F2 Rw',2021-01-02 17:45:48,11,13,7,0,0,0,0,2,0
28571,22.29,R B2 U2 B2 D' L2 F2 D' R2 U2 B2 U' F R B D2 R F' L Fw' Uw',2021-01-02 17:47:46,10,12,6,0,1,0,1,1,1
28575,22.56,L F' R2 F R2 U2 F2 U2 F R2 F2 D2 L B' D' U' F L' U2 F2 R' Fw' Uw,2021-01-02 17:51:28,11,11,7,1,0,0,0,1,0
28578,21.79,F2 U2 L' D2 R F2 R F2 D2 B2 R' D' B2 U' L2 R F' D2 B2 F' Fw Uw2,2021-01-02 17:54:27,10,12,6,0,1,0,1,1,1
28581,23.67,B2 U' L2 F2 R2 F' D2 F2 U2 R2 F' U2 F U B2 U' F' U' L' B' D2 Rw' Uw2,2021-01-02 17:59:32,11,11,9,0,0,0,1,0,3
28586,24.57,R F R2 B L' F D' R' D F2 U2 F L2 D2 F' R2 U2 D2 F D2 Rw Uw,2021-01-02 18:06:13,11,13,7,0,0,0,0,2,0
28587,16.86,F2 R2 B' R U F R2 D U2 R2 F' L2 F L2 F' L2 U2 L2 B' L Rw Uw,2021-01-02 18:06:51,9,10,8,0,0,1,0,0,1
28588,24.91,U F R F D' F D2 F' L2 U L2 U D2 F2 U L2 B2 R2 B2 U Rw2 Uw2,2021-01-02 18:07:24,10,11,7,0,0,1,1,1,1
28589,27.04,L D L2 U2 R U2 F2 R2 F2 L B2 L B2 F' L2 U L2 B L F' R' Fw Uw',2021-01-02 18:08:00,11,11,9,0,0,0,0,0,2
28590,22.65,U2 F' L U2 F2 R2 U B' L' U2 R2 F B2 U2 F D2 B' U2 F2 Fw' Uw,2021-01-02 18:08:56,10,12,6,0,1,0,1,1,1
28591,24.41,L' F' R2 D B2 D' R2 D2 R2 U F2 D R2 U B L2 D' L D' U' B2 Rw2 Uw,2021-01-02 18:09:35,11,11,5,0,2,1,0,1,0
28594,21.59,L B2 U2 F' U R D' U2 F' R2 B' U2 L2 B' D2 B2 D2 B' R D2 Fw Uw2,2021-01-02 18:13:20,12,9,7,2,1,0,0,0,1
28596,22.49,R' B2 R2 D L2 D' L2 U R2 F2 R2 B2 R' F2 U' B U F D' R B' Rw' Uw',2021-01-02 18:14:57,10,12,8,0,0,0,0,1,1
28597,20.6,R2 D' R2 D2 B D2 F' D2 R2 F R2 U2 F U' R' D' R U2 L2 F Rw' Uw,2021-01-02 18:15:33,11,10,6,2,1,0,0,1,0
28599,22.56,D L2 R2 D2 B2 L2 U F2 U' B2 R2 U2 L U F2 D2 R2 U' B D2 F Rw Uw',2021-01-02 18:18:43,10,10,10,0,0,2,0,1,3
28601,24.68,D2 B2 F' R2 F' D2 B' L2 F' U2 L2 U' L' D R2 B' L R' D L F' Fw,2021-01-02 18:20:45,11,12,8,1,1,0,0,2,2
28602,26.84,R' B' R B2 F2 R2 U2 F2 D R2 F2 D R2 D F R2 D R B' L2 U',2021-01-02 18:21:21,11,11,7,1,0,0,0,1,0
28603,22.08,B' D R F' D' B U' F2 R U2 D2 R2 F' U2 L2 B R2 U2 B2 U2 Rw Uw,2021-01-03 16:37:46,9,10,8,1,0,0,0,0,1
28604,21.83,F R2 B2 D2 B2 F' U2 B R2 F' D2 F' D R' B U2 F2 R2 F R' Rw Uw,2021-01-03 16:38:23,9,10,6,0,1,1,0,0,0
